Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;Call-8;Best-8;Imp-8;Eq-8;Wrs-8;Tm-8;Call-9;Best-9;Imp-9;Eq-9;Wrs-9;Tm-9;Call-10;Best-10;Imp-10;Eq-10;Wrs-10;Tm-10;
47;0,189;311,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;20;10;10;1;9;0,006916;3;3;3;0;0;0,004174;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;10;10;10;0;0;0,007755;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
48;0,191;308,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;20;10;10;1;9;0,006916;3;3;3;0;0;0,004174;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;11;11;11;0;0;0,008517;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
49;0,193;304,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;20;10;10;1;9;0,006916;4;4;4;0;0;0,004831;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;11;11;11;0;0;0,008517;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
52;0,195;300,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;22;11;11;1;10;0,007217;4;4;4;0;0;0,004831;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;11;11;11;0;0;0,008517;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
53;0,198;293,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;22;11;11;1;10;0,007217;4;4;4;0;0;0,004831;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;12;12;12;0;0;0,009243;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
56;0,205;287,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;23;11;11;1;11;0,007391;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;13;13;13;0;0;0,009989;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
57;0,209;282,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;24;12;12;1;11;0,007595;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;13;13;13;0;0;0,009989;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
58;0,211;281,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;24;12;12;1;11;0,007595;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;14;14;14;0;0;0,010727;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
60;0,213;279,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;25;13;13;1;11;0,007752;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;14;14;14;0;0;0,010727;2;0;0;1;1;3,57E-4;2;0;0;1;1;2,98E-4;
65;0,215;275,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;4;0;0;1;3;0,002002;28;13;13;1;14;0,008183;5;4;4;1;0;0,005455;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;15;15;15;0;0;0,011432;2;0;0;1;1;3,57E-4;3;0;0;1;2;4,72E-4;
